"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86"
"SCOST" 191849251.236543 224312852.060518 287880880.40177 354677323.319725 420836744.934754 481274320.027472 533541706.57582 578959000.510835 618513067.507254 655033509.944992 683066363.55508 705626987.949694 725524505.392112 745870922.163453 756707369.085361 760030279.573958 755397653.875967 749944276.978213 738280977.235191 724691976.610983 703619459.712543 684484954.892793 656124097.347108 626494498.457831 594402640.050492 568816303.021567 542774357.599176 521949918.656936 490770758.109328 467407017.559438 436795525.783906 410195991.630187 389690900.90718 370923164.929614 348621583.737044 328299369.566013 307631022.76607 285254738.438259 267013923.251631 249397814.021551 231814806.812912 217598132.178635 201574013.50892 188651260.058007 174783610.072127 157485673.019914 144207394.078735 131991569.912182 120817719.504682 110533732.597071 100189406.756696 90507499.5354882 82830795.7267174 75269230.3656868 68026201.5946692 59984969.6531286 52907520.5257006 48542599.6097195 42310841.6746762 37797497.8154128 32643780.6721857 27978884.7291444 22762532.8328949 19113400.6178312 15406711.306959 12283217.6833774 9780203.51305637 7434926.11115156 5590274.1764871 3958864.42713713 2788024.5135352 1965320.54234089 1278711.91761549 720892.009333443 393134.273757035 191189.157644361 115915.210813155 51653.0059611004 16283.6326642648 7088.16622761175 211.677274577755 204.519105872227 15.319840901995 0 0 0 0
"ECOST" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TCOST" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"QALY" 1897102.14008776 3686068.67923996 3474244.08454093 3271361.5304414 3077304.32566989 2891834.44842783 2714446.8253943 2545004.81576738 2383681.86253194 2230066.93140829 2083741.2357477 1944607.36615854 1812380.62881997 1686680.21181193 1567503.53292379 1454559.26994755 1347688.70701294 1246910.67985576 1152000.36695501 1062756.20365091 979073.489444933 900678.855721769 827311.583216251 758820.192066684 695045.969227582 635783.549661364 580614.319929302 529367.570334328 481881.536080576 437975.328370714 397325.069087801 359711.853511153 325145.364692321 293395.241826265 264177.36457603 237346.402675692 212799.623602141 190373.607970242 169927.834058587 151336.819732434 134495.976516792 119222.554322393 105331.384257461 92795.0256316834 81501.5630408579 71340.9857996556 62280.0261530709 54183.2690219077 46958.4450601348 40581.3100283611 34938.8288338999 29974.6912082503 25646.8375133838 21820.5132248884 18432.3912643084 15467.460698233 12892.1468523479 10655.109176403 8730.96209822081 7087.77701321286 5685.97999079242 4514.34518824781 3543.33905223755 2750.61789531202 2109.23490158452 1598.25244921389 1200.28722541002 890.453476904501 654.755227049673 476.130221310666 342.792150702326 241.216515790108 163.893562450953 106.35196942012 64.6655205680087 35.9498125748497 18.2975097646329 9.08346400485409 4.27905212792777 1.8514091407022 0.64317041833505 0.167321735093024 0.104243451090639 0.0223679624881918 0 0 0
"CVD" 82221 79497 78452 77870 77450 76776 75813 75022 73427 72347 71452 70460 69161 67826 66346 64566 63366 62036 60794 58138 57038 55552 53476 51500 50276 48174 46739 44760 42958 41315 39288 37497 35879 33750 32027 30383 28675 26692 25648 23789 22155 20667 19146 17530 16457 15083 13661 12612 11284 10378 9165 8630 7543 6720 5965 5227 4618 3944 3409 2857 2452 2041 1600 1345 983 787 576 487 371 284 192 149 97 63 32 26 13 4 2 1 0 0 0 0 0 0 0
"MI" 12389 13610 14185 15031 15716 16220 16752 17169 17410 17978 18165 18461 18876 18839 19067 19148 19454 19149 18880 18794 18389 18220 17710 17670 17018 16695 16321 15867 15614 14886 14371 13919 13236 12670 12125 11464 11057 10305 9681 9332 8563 7941 7492 6938 6579 6067 5436 5124 4571 4134 3705 3543 3125 2666 2381 2172 1862 1615 1396 1162 1005 792 674 566 440 357 276 226 139 132 86 60 51 24 13 5 4 2 1 0 1 0 0 0 0 0 0
"UANG" 6146 6074 6090 5914 5928 5856 5877 5927 5678 5662 5563 5571 5510 5277 5356 5212 5232 5123 5007 4804 4711 4708 4521 4415 4181 4071 4007 3916 3708 3525 3397 3153 3044 2919 2748 2600 2492 2353 2194 2033 1868 1748 1599 1455 1404 1151 1172 1112 910 927 775 721 675 542 509 425 411 311 262 241 214 165 147 121 85 62 45 48 27 26 20 14 4 7 5 2 0 0 0 0 0 0 0 0 0 0 0
"STRO" 23354 24409 25034 25789 27122 27715 29043 29560 30167 30305 30632 31421 31550 31737 31704 31532 31243 31369 31040 29972 29929 29633 29080 28109 27782 27086 26558 25296 24444 24006 23119 22385 21554 20634 19665 18543 17606 16631 16188 15219 14314 13478 12456 11521 10869 10118 9139 8298 7705 7077 6337 5877 5347 4801 4117 3739 3335 2884 2470 2088 1856 1505 1208 1058 764 596 465 343 319 228 146 103 77 49 23 21 12 4 0 1 0 0 0 0 0 0 0
"TIA" 7708 6959 6385 5898 5592 4866 4488 3928 3585 3005 3049 2415 2069 2021 1740 1526 1264 1035 936 463 742 476 426 219 298 73 -125 120 -43 -117 -180 -166 -125 -218 -222 -123 -225 -220 -448 -325 -398 -300 -266 -321 -267 -258 -207 -193 -218 -255 -219 -91 -189 -161 -101 -78 -33 -66 -35 -14 -58 -30 -28 -24 -11 -4 -19 -21 -2 -14 -9 9 0 2 -1 -2 0 0 -1 0 0 0 0 0 0 0 0
"DXT2" 82237 43924 44254 52126 64502 72393 66995 54486 45212 39971 37999 37314 37434 37499 38290 38308 38887 39214 39801 39833 39735 38986 38671 37001 35815 34421 32755 30813 28890 26519 24484 22302 20264 18321 16778 14907 13201 11658 10456 9147 8336 6940 6198 5263 4629 4057 3426 2848 2493 2092 1736 1517 1195 1021 883 730 575 458 343 287 251 203 135 107 83 52 28 40 34 10 14 11 5 8 2 0 0 2 0 0 0 0 0 0 0 0 0
